Original Token,Shuffled TOken,Original Text,Shuffled Text,Probing Position,Probing_tokens
Ġand,Ġthan,"Input:interesting and at times 
Output:positive
Input:usual intelligence and subtlety 
Output:positive
Input:while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket . 
Output:negative
Input:surprisingly charming and 
Output:positive
Input:is balanced by a rich visual clarity and deeply 
Output:positive
Input:engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ` cultural revolution . ' 
Output:positive
Input:a full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence 
Output:positive
Input:intriguing and 
Output:positive
Input:is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about . 
Output:negative
Input:it 's just weirdness for the sake of weirdness , and 
Output:negative
Input:nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced . 
Output:positive
Input:presents nothing special and , until the final act , nothing overtly disagreeable 
Output:negative
Input:put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life 
Output:negative
Input:unfunny and unoriginal mess 
Output:negative
Input:video , and so devoid of artifice and purpose that it appears not to have been edited at all . 
Output:negative
","<|begin_of_text|>Input:interesting and at times 
Output:positive
Input:usual intelligence and subtlety 
Output:positive
Input:while solondz tries and tries hard, storytelling fails to provide much more insight than the inside column of a torn book jacket. 
Output:negative
Input:surprisingly charming and 
Output:positive
Input:is balanced by a rich visual clarity and deeply 
Output:positive
Input:engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ` cultural revolution.'
Output:positive
Input:a full experience, a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence 
Output:positive
Input:intriguing and 
Output:positive
Input:is hindered by a central plot that's peppered with false starts and populated by characters who are nearly impossible to care about. 
Output:negative
Input:it's just weirdness for the sake of weirdness, and 
Output:negative
Input:nurtures the multi-layers of its characters, allowing us to remember that life's ultimately a gamble and last orders are to be embraced. 
Output:positive
Input:presents nothing special and, until the final act, nothing overtly disagreeable 
Output:negative
Input:put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life 
Output:negative
Input:unfunny and unoriginal mess 
Output:negative
Input:video, and so devoid of artifice and purpose that it appears not to have been edited at all. 
Output:negative
","[3, 15, 31, 62, 77, 105, 130, 156, 179, 211, 240, 258, 287, 301, 320]","['interesting', 'Ġintelligence', 'Ġtries', 'Ġcharming', 'Ġclarity', 'Ġinnovations', 'Ġstory', 'uing', 'Ġstarts', 'Ġ,', 'Ġgamble', 'Ġspecial', 'Ġstudios', '9', 'ny']"
Ġthe,Ġall,"Input:is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears 
Output:positive
Input:the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves blue crush waterlogged . 
Output:negative
Input:sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema 
Output:positive
Input:at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge . 
Output:positive
Input:when it comes out on video , then it 's the perfect cure for insomnia . 
Output:negative
Input:is the ultimate movie experience 
Output:positive
Input:is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action 
Output:negative
Input:felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend 
Output:negative
Input:embedded in the sexy demise of james dean 
Output:positive
Input:ozpetek offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves . 
Output:negative
Input:is an exercise in chilling style , and twohy films the sub , inside and out 
Output:positive
Input:take as many drugs as the film 's characters 
Output:negative
Input:the film 's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . ' 
Output:negative
Input:that segment of the populace that made a walk to remember a niche hit 
Output:positive
Input:sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations 
Output:negative
","<|begin_of_text|>Input:is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears 
Output:positive
Input:the film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama,'but the emphasis on the latter leaves blue crush waterlogged. 
Output:negative
Input:sillier, cuter, and shorter than the first ( as best i remember ), but still a very good time at the cinema 
Output:positive
Input:at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge. 
Output:positive
Input:when it comes out on video, then it's the perfect cure for insomnia. 
Output:negative
Input:is the ultimate movie experience 
Output:positive
Input:is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action 
Output:negative
Input:felt ; not the craven of'a nightmare on elm street'or ` the hills have eyes,'but the sad schlock merchant of ` deadly friend 
Output:negative
Input:embedded in the sexy demise of james dean 
Output:positive
Input:ozpetek offers an aids subtext, skims over the realities of gay sex, and presents yet another tired old vision of the gay community as an all-inclusive world where uptight, middle class bores like antonia can feel good about themselves. 
Output:negative
Input:is an exercise in chilling style, and twohy films the sub, inside and out 
Output:positive
Input:take as many drugs as the film's characters 
Output:negative
Input:the film's considered approach to its subject matter is too calm and thoughtful for agitprop, and the thinness of its characterizations makes it a failure as straight drama.'
Output:negative
Input:that segment of the populace that made a walk to remember a niche hit 
Output:positive
Input:sticks rigidly to the paradigm, rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived, well-worn situations 
Output:negative
","[25, 44, 54, 62, 65, 89, 105, 119, 128, 154, 168, 207, 219, 232, 239]","['Ġ`', 'Ġhad', 'Ġover', 'Ġbut', 'Ġon', 'Ġthan', 'Ġat', 'Ġto', 'Ġof', 's', 'is', 'Ġunderscore', 'Ġnot', 'Ġ`', 'Ġbut']"
Ġof,Ġout,"Input:a semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer had anything to do with it . 
Output:negative
Input:it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug . 
Output:negative
Input:no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . 
Output:positive
Input:gives us another peek at some of the magic we saw in glitter here in wisegirls . 
Output:positive
Input:'s lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay 
Output:negative
Input:the film has the uncanny ability to right itself precisely when you think it 's in danger of going wrong . 
Output:positive
Input:short-story quaint , touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of eudora welty 
Output:positive
Input:none of birthday girl 's calculated events take us by surprise ... 
Output:negative
Input:plays out like a flimsy excuse to give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once 
Output:negative
Input:one of those ` alternate reality ' 
Output:negative
Input:one of the better video-game-based flicks , 
Output:positive
Input:episode ii -- attack of the clones is a technological exercise that lacks juice and delight 
Output:negative
Input:is beautiful filmmaking from one of french cinema 's master craftsmen 
Output:positive
Input:an irresistible blend of warmth and humor 
Output:positive
Input:while delivering a more than satisfactory amount of carnage 
Output:positive
","<|begin_of_text|>Input:a semi-autobiographical film that's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer had anything to do with it. 
Output:negative
Input:it's a rather listless amble down the middle of the road, where the thematic ironies are too obvious and the sexual politics too smug. 
Output:negative
Input:no such thing is sort of a minimalist beauty and the beast, but in this case the beast should definitely get top billing. 
Output:positive
Input:gives us another peek at some of the magic we saw in glitter here in wisegirls. 
Output:positive
Input:'s lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay 
Output:negative
Input:the film has the uncanny ability to right itself precisely when you think it's in danger of going wrong. 
Output:positive
Input:short-story quaint, touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty 
Output:positive
Input:none of birthday girl's calculated events take us by surprise... 
Output:negative
Input:plays out like a flimsy excuse to give blade fans another look at wesley snipes'iconic hero doing battle with dozens of bad guys -- at once 
Output:negative
Input:one of those ` alternate reality'
Output:negative
Input:one of the better video-game-based flicks, 
Output:positive
Input:episode ii -- attack of the clones is a technological exercise that lacks juice and delight 
Output:negative
Input:is beautiful filmmaking from one of french cinema's master craftsmen 
Output:positive
Input:an irresistible blend of warmth and humor 
Output:positive
Input:while delivering a more than satisfactory amount of carnage 
Output:positive
","[28, 61, 92, 125, 163, 199, 235, 248, 293, 307, 321, 341, 366, 384, 402]","['Ġcreation', 'Ġmiddle', 'Ġsort', 'Ġsome', 'Ġcouple', 'Ġdanger', 'Ġout', ':none', 'Ġdozens', 'one', 'one', 'Ġattack', 'Ġone', 'Ġblend', 'Ġamount']"
Ġa,Ġtheir,"Input:possibly the most irresponsible picture ever released by a major film studio . 
Output:negative
Input:mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another 
Output:negative
Input:revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway . 
Output:positive
Input:little less bling-bling and a lot more 
Output:negative
Input:contribute to a mood that 's sustained through the surprisingly somber conclusion . 
Output:positive
Input:family togetherness takes a back seat to inter-family rivalry and workplace ambition 
Output:negative
Input:is so deadly dull that watching the proverbial paint dry would be a welcome improvement 
Output:negative
Input:i 'm actually having a hard time believing people were paid to make it 
Output:negative
Input:the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer 's new action film , `` the sum of all fears 
Output:negative
Input:shunji iwai 's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan . 
Output:negative
Input:after all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long . 
Output:negative
Input:like the rock on a wal-mart budget 
Output:negative
Input:to imagine another director ever making his wife look so bad in a major movie 
Output:negative
Input:mandy moore leaves a positive impression 
Output:positive
Input:bogs down in a surfeit of characters and 
Output:negative
","<|begin_of_text|>Input:possibly the most irresponsible picture ever released by a major film studio. 
Output:negative
Input:mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another 
Output:negative
Input:revigorates the mind to see a feature that concentrates on people, a project in which the script and characters hold sway. 
Output:positive
Input:little less bling-bling and a lot more 
Output:negative
Input:contribute to a mood that's sustained through the surprisingly somber conclusion. 
Output:positive
Input:family togetherness takes a back seat to inter-family rivalry and workplace ambition 
Output:negative
Input:is so deadly dull that watching the proverbial paint dry would be a welcome improvement 
Output:negative
Input:i'm actually having a hard time believing people were paid to make it 
Output:negative
Input:the star who helped give a spark to `` chasing amy '' and `` changing lanes '' falls flat as thinking man cia agent jack ryan in this summer's new action film, `` the sum of all fears 
Output:negative
Input:shunji iwai's all about lily chou chou is a beautifully shot, but ultimately flawed film about growing up in japan. 
Output:negative
Input:after all, he took three minutes of dialogue, 30 seconds of plot and turned them into a 90-minute movie that feels five hours long. 
Output:negative
Input:like the rock on a wal-mart budget 
Output:negative
Input:to imagine another director ever making his wife look so bad in a major movie 
Output:negative
Input:mandy moore leaves a positive impression 
Output:positive
Input:bogs down in a surfeit of characters and 
Output:negative
","[10, 26, 30, 58, 65, 90, 103, 129, 159, 173, 195, 256, 296, 318, 342]","['Ġby', 'Ġlike', 'Ġfrom', 'Ġsee', 'Ġ,', 'Ġand', 'Ġto', 'Ġtakes', 'Ġbe', 'Ġhaving', 'Ġgive', 'Ġis', 'Ġinto', 'Ġon', 'Ġin']"
Ġto,Ġone,"Input:is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . 
Output:negative
Input:the filmmakers know how to please the eye , but 
Output:positive
Input:attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago 
Output:negative
Input:the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process . 
Output:positive
Input:imagine o. henry 's the gift of the magi relocated to the scuzzy underbelly of nyc 's drug scene . 
Output:negative
Input:to appeal to women looking for a howlingly trashy time 
Output:positive
Input:do the genial-rogue shtick to death 
Output:negative
Input:the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense 
Output:negative
Input:the filmmakers know how to please the eye 
Output:positive
Input:shows holmes has the screen presence to become a major-league leading lady , ( but ) 
Output:positive
Input:the sort for those moviegoers who complain that ` they do n't make movies like they used to anymore 
Output:positive
Input:cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting 
Output:negative
Input:too skewed to ever get a hold on 
Output:negative
Input:the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . 
Output:positive
Input:an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids 
Output:negative
","<|begin_of_text|>Input:is paced at a speed that is slow to those of us in middle age and deathly slow to any teen. 
Output:negative
Input:the filmmakers know how to please the eye, but 
Output:positive
Input:attempts to mine laughs from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago 
Output:negative
Input:the bai brothers have taken an small slice of history and opened it up for all of us to understand, and they've told a nice little story in the process. 
Output:positive
Input:imagine o. henry's the gift of the magi relocated to the scuzzy underbelly of nyc's drug scene. 
Output:negative
Input:to appeal to women looking for a howlingly trashy time 
Output:positive
Input:do the genial-rogue shtick to death 
Output:negative
Input:the adventures that happen along the way seem repetitive and designed to fill time, providing no real sense of suspense 
Output:negative
Input:the filmmakers know how to please the eye 
Output:positive
Input:shows holmes has the screen presence to become a major-league leading lady, ( but ) 
Output:positive
Input:the sort for those moviegoers who complain that ` they don't make movies like they used to anymore 
Output:positive
Input:cared much about any aspect of it, from its cheesy screenplay to the grayish quality of its lighting 
Output:negative
Input:too skewed to ever get a hold on 
Output:negative
Input:the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be. 
Output:positive
Input:an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids 
Output:negative
","[10, 21, 36, 51, 102, 140, 164, 192, 212, 233, 251, 289, 310, 327, 361]","['Ġslow', 'Ġslow', 'Ġhow', 'tempts', 'Ġus', 'Ġrelocated', 'Ġappeal', 'ick', 'Ġdesigned', 'Ġhow', 'Ġpresence', 'Ġused', 'Ġscreenplay', 'Ġskewed', 'Ġhoped']"
Ġin,Ġgood,"Input:know why steven seagal is considered a star , nor why he keeps being cast in action films when none of them are ever any good or 
Output:negative
Input:everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation 
Output:positive
Input:godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... in praise of love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating 
Output:negative
Input:the picture is in trouble 
Output:negative
Input:an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears 
Output:positive
Input:will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution 
Output:positive
Input:it follows the blair witch formula for an hour , in which we 're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes . 
Output:negative
Input:what it lacks in outright newness 
Output:negative
Input:the real star of this movie is the score , as in the songs translate well to film , and it 's really well directed 
Output:positive
Input:creates a portrait of two strong men in conflict , 
Output:positive
Input:ca n't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out . 
Output:negative
Input:a sour taste in your mouth 
Output:negative
Input:how much souvlaki can you take before indigestion sets in 
Output:negative
Input:a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist 
Output:positive
Input:off with an inauspicious premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper . 
Output:negative
","<|begin_of_text|>Input:know why steven seagal is considered a star, nor why he keeps being cast in action films when none of them are ever any good or 
Output:negative
Input:everything its fans are hoping it will be, and in that sense is a movie that deserves recommendation 
Output:positive
Input:godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... in praise of love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating 
Output:negative
Input:the picture is in trouble 
Output:negative
Input:an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears 
Output:positive
Input:will undoubtedly play well in european markets, where mr. besson is a brand name, and in asia, where ms. shu is an institution 
Output:positive
Input:it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes. 
Output:negative
Input:what it lacks in outright newness 
Output:negative
Input:the real star of this movie is the score, as in the songs translate well to film, and it's really well directed 
Output:positive
Input:creates a portrait of two strong men in conflict, 
Output:positive
Input:can't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out. 
Output:negative
Input:a sour taste in your mouth 
Output:negative
Input:how much souvlaki can you take before indigestion sets in 
Output:negative
Input:a smart and funny, albeit sometimes superficial, cautionary tale of a technology in search of an artist 
Output:positive
Input:off with an inauspicious premise, mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper. 
Output:negative
","[19, 48, 81, 94, 127, 142, 173, 188, 217, 228, 238, 255, 277, 306, 328]","['Ġcast', 'Ġand', 'Ġand', 'Ġ...', 'Ġis', 'Ġintelligence', 'Ġwell', 'Ġand', 'Ġ,', 'Ġis', 'ry', 'Ġlacks', 'Ġas', 'Ġmen', 'Ġwork']"
Ġis,Ġan,"Input:the script is too mainstream and the psychology too textbook to intrigue . 
Output:negative
Input:scorsese 's bold images and generally smart casting ensure that `` gangs '' is never lethargic 
Output:positive
Input:grenier is terrific , bringing an unforced , rapid-fire delivery to toback 's heidegger - and nietzsche-referencing dialogue . 
Output:positive
Input:who proves that elegance is more than tattoo deep 
Output:positive
Input:latest effort is not the director at his most sparkling 
Output:negative
Input:( `` take care of my cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals . 
Output:positive
Input:stands for milder is n't better . 
Output:negative
Input:perry 's good and his is an interesting character 
Output:positive
Input:that crossroads is nothing more than an hour-and-a-half-long commercial for britney 's latest album 
Output:negative
Input:as the dominant christine , sylvie testud is icily brilliant . 
Output:positive
Input:gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior . 
Output:positive
Input:so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast . 
Output:positive
Input:ultimately this is a frustrating patchwork : an uneasy marriage of louis begley 's source novel ( about schmidt ) and an old payne screenplay . 
Output:negative
Input:predominantly amateur cast is painful to watch , so stilted and unconvincing 
Output:negative
Input:accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie 
Output:negative
","<|begin_of_text|>Input:the script is too mainstream and the psychology too textbook to intrigue. 
Output:negative
Input:scorsese's bold images and generally smart casting ensure that `` gangs '' is never lethargic 
Output:positive
Input:grenier is terrific, bringing an unforced, rapid-fire delivery to toback's heidegger - and nietzsche-referencing dialogue. 
Output:positive
Input:who proves that elegance is more than tattoo deep 
Output:positive
Input:latest effort is not the director at his most sparkling 
Output:negative
Input:( `` take care of my cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals. 
Output:positive
Input:stands for milder isn't better. 
Output:negative
Input:perry's good and his is an interesting character 
Output:positive
Input:that crossroads is nothing more than an hour-and-a-half-long commercial for britney's latest album 
Output:negative
Input:as the dominant christine, sylvie testud is icily brilliant. 
Output:positive
Input:gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior. 
Output:positive
Input:so it's not a brilliant piece of filmmaking, but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself, a playful spirit and a game cast. 
Output:positive
Input:ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay. 
Output:negative
Input:predominantly amateur cast is painful to watch, so stilted and unconvincing 
Output:negative
Input:accuse kung pow for misfiring, since it is exactly what it wants to be : an atrociously, mind-numbingly, indescribably bad movie 
Output:negative
","[4, 38, 52, 91, 105, 128, 170, 188, 202, 238, 263, 293, 329, 370, 403]","['Ġscript', ""Ġ''"", 'ier', 'Ġelegance', 'Ġeffort', 'Ġ)', 'ilder', 'Ġhis', 'roads', 'ud', 'Ġwho', 'Ġit', 'Ġthis', 'Ġcast', 'Ġit']"
Ġit,Ġway,"Input:to have a good time as it doles out pieces of the famous director 's life 
Output:positive
Input:it seems impossible that an epic four-hour indian musical about a cricket game could be this good , but it is 
Output:positive
Input:is it as smart 
Output:positive
Input:in other words , it 's badder than bad . 
Output:negative
Input:to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter 
Output:negative
Input:the problem is that the movie has no idea of it is serious or not . 
Output:negative
Input:but it also does the absolute last thing we need hollywood doing to us : 
Output:negative
Input:this movie is so bad , that it 's almost worth seeing because it 's so bad . 
Output:negative
Input:to give it a marginal thumbs up 
Output:positive
Input:have at it 
Output:positive
Input:less funny than it should be and 
Output:negative
Input:one reason it 's so lackluster 
Output:negative
Input:cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in . 
Output:positive
Input:the end it 's as sweet as greenfingers 
Output:positive
Input:work because there is no foundation for it 
Output:negative
","<|begin_of_text|>Input:to have a good time as it doles out pieces of the famous director's life 
Output:positive
Input:it seems impossible that an epic four-hour indian musical about a cricket game could be this good, but it is 
Output:positive
Input:is it as smart 
Output:positive
Input:in other words, it's badder than bad. 
Output:negative
Input:to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter 
Output:negative
Input:the problem is that the movie has no idea of it is serious or not. 
Output:negative
Input:but it also does the absolute last thing we need hollywood doing to us : 
Output:negative
Input:this movie is so bad, that it's almost worth seeing because it's so bad. 
Output:negative
Input:to give it a marginal thumbs up 
Output:positive
Input:have at it 
Output:positive
Input:less funny than it should be and 
Output:negative
Input:one reason it's so lackluster 
Output:negative
Input:cantet beautifully illuminates what it means sometimes to be inside looking out, and at other times outside looking in. 
Output:positive
Input:the end it's as sweet as greenfingers 
Output:positive
Input:work because there is no foundation for it 
Output:negative
","[8, 47, 57, 71, 100, 125, 139, 167, 174, 189, 203, 214, 227, 247, 273]","['Ġas', 'Ġbut', 'is', 'Ġ,', 'Ġsink', 'Ġof', 'but', 'Ġthat', 'Ġbecause', 'Ġgive', 'Ġat', 'Ġthan', 'Ġreason', 'Ġwhat', 'Ġend']"
Ġwith,Ġmovie,"Input:pair that with really poor comedic writing ... and 
Output:negative
Input:a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger . 
Output:positive
Input:came up with a treasure chest of material 
Output:positive
Input:nice to see what he could make with a decent budget 
Output:positive
Input:a winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others . 
Output:positive
Input:the problem is that van wilder does little that is actually funny with the material . 
Output:negative
Input:too often spins its wheels with familiar situations and repetitive scenes 
Output:negative
Input:rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic . 
Output:negative
Input:see clockstoppers if you have nothing better to do with 94 minutes . 
Output:negative
Input:such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema 
Output:positive
Input:flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters 
Output:positive
Input:rendered with such clarity that it 's as if it all happened only yesterday 
Output:positive
Input:hoped i would -- with moist eyes 
Output:positive
Input:could n't someone take rob schneider and have him switch bodies with a funny person ? 
Output:negative
Input:men with guns 
Output:negative
","<|begin_of_text|>Input:pair that with really poor comedic writing... and 
Output:negative
Input:a fascinating, bombshell documentary that should shame americans, regardless of whether or not ultimate blame finally lies with kissinger. 
Output:positive
Input:came up with a treasure chest of material 
Output:positive
Input:nice to see what he could make with a decent budget 
Output:positive
Input:a winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others. 
Output:positive
Input:the problem is that van wilder does little that is actually funny with the material. 
Output:negative
Input:too often spins its wheels with familiar situations and repetitive scenes 
Output:negative
Input:rumor, a muddled drama about coming to terms with death, feels impersonal, almost generic. 
Output:negative
Input:see clockstoppers if you have nothing better to do with 94 minutes. 
Output:negative
Input:such high-wattage brainpower coupled with pitch-perfect acting and an exquisite, unfakable sense of cinema 
Output:positive
Input:flat-out amusing, sometimes endearing and often fabulous, with a solid cast, noteworthy characters 
Output:positive
Input:rendered with such clarity that it's as if it all happened only yesterday 
Output:positive
Input:hoped i would -- with moist eyes 
Output:positive
Input:couldn't someone take rob schneider and have him switch bodies with a funny person? 
Output:negative
Input:men with guns 
Output:negative
","[4, 38, 51, 71, 84, 130, 146, 170, 198, 218, 251, 267, 292, 315, 328]","['Ġthat', 'Ġlies', 'Ġup', 'Ġmake', 'Ġcomedy', 'Ġfunny', 'Ġwheels', 'Ġterms', 'Ġdo', 'Ġcoupled', 'Ġ,', 'ed', 'Ġ--', 'Ġbodies', 'men']"
Ġfilm,Ġtime,"Input:screenplay to keep the film entertaining 
Output:positive
Input:cannon 's confidence and laid-back good spirits are , with the drumming routines , among the film 's saving graces . 
Output:positive
Input:believed in their small-budget film 
Output:positive
Input:arliss howard 's ambitious , moving , and adventurous directorial debut , big bad love , meets so many of the challenges it poses for itself that one can forgive the film its flaws . 
Output:positive
Input:tov to a film about a family 's joyous life acting on the yiddish stage . 
Output:positive
Input:mike white 's deft combination of serious subject matter and dark , funny humor make `` the good girl '' a film worth watching . 
Output:positive
Input:an art film 
Output:positive
Input:as antonia is assimilated into this newfangled community , the film settles in and becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion . 
Output:positive
Input:a much funnier film with a similar theme 
Output:positive
Input:on the cinematic front , look no further than this 20th anniversary edition of the film that spielberg calls 
Output:positive
Input:'s back in form , with an astoundingly rich film 
Output:positive
Input:a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni 
Output:positive
Input:to give the film the substance it so desperately needs 
Output:negative
Input:at best this is a film for the under-7 crowd . 
Output:negative
Input:in the book-on-tape market , the film of `` the kid stays in the picture '' would be an abridged edition 
Output:negative
","<|begin_of_text|>Input:screenplay to keep the film entertaining 
Output:positive
Input:cannon's confidence and laid-back good spirits are, with the drumming routines, among the film's saving graces. 
Output:positive
Input:believed in their small-budget film 
Output:positive
Input:arliss howard's ambitious, moving, and adventurous directorial debut, big bad love, meets so many of the challenges it poses for itself that one can forgive the film its flaws. 
Output:positive
Input:tov to a film about a family's joyous life acting on the yiddish stage. 
Output:positive
Input:mike white's deft combination of serious subject matter and dark, funny humor make `` the good girl '' a film worth watching. 
Output:positive
Input:an art film 
Output:positive
Input:as antonia is assimilated into this newfangled community, the film settles in and becomes compulsively watchable in a guilty-pleasure, daytime-drama sort of fashion. 
Output:positive
Input:a much funnier film with a similar theme 
Output:positive
Input:on the cinematic front, look no further than this 20th anniversary edition of the film that spielberg calls 
Output:positive
Input:'s back in form, with an astoundingly rich film 
Output:positive
Input:a frightful vanity film that, no doubt, pays off what debt miramax felt they owed to benigni 
Output:positive
Input:to give the film the substance it so desperately needs 
Output:negative
Input:at best this is a film for the under-7 crowd. 
Output:negative
Input:in the book-on-tape market, the film of `` the kid stays in the picture '' would be an abridged edition 
Output:negative
","[7, 35, 55, 98, 112, 159, 172, 194, 227, 255, 278, 289, 317, 336, 360]","['Ġthe', 'Ġthe', '-budget', 'Ġthe', 'Ġa', 'Ġa', 'Ġart', 'Ġthe', 'nier', 'Ġthe', 'Ġrich', 'Ġvanity', 'Ġthe', 'Ġa', 'Ġthe']"
